,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,last_sold_price,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status
house_776,Single Family Residential,145 Rutledge St ,San Francisco,CA,94110,1350000,3,3,,,1964,—,0, 1, 1,,Carver (george Washington) Elementary School,1,,,Marshall (thurgood) High School,2, Radiant, Radiant,88,77,75," $1,367,812", Active
house_777,Single Family Residential,148 Judson Ave ,San Francisco,CA,94112,1199000,2,1,,,1926,—,0, 2, 2,,Yu (alice Fong) Elementary School,9,Visitacion Valley Middle School,2,Marshall (thurgood) High School,2," Central Heating, Gas"," Central Heating, Gas",82,88,66," $1,426,210", Active
house_778,Condo/Co-op,1483 Sutter St #504 ,San Francisco,CA,94109,1285000,2,2,,,1993,—,859,, 1,,Parks (rosa) Elementary School,4,Roosevelt Middle School,9,Wells (ida B.) High School,1,,,99,100,82," $1,283,450", Active
house_779,Multi-Family (2-4 Unit),1485-1487 20th Ave ,San Francisco,CA,94122,1388000,4,2,,,1923,—,0, 2, 2,,Yu (alice Fong) Elementary School,9,Giannini (a.P.) Middle School,9,Independence High School,4, Central Heating, Central Heating,87,71,72," $1,514,124", Active
house_780,Condo/Co-op,1490 Ocean Ave #304 ,San Francisco,CA,94112,1295000,2,2,,,2017,—,757,, 1,,Lakeshore Alternative Elementary School,3,Aptos Middle School,6,City Arts And Tech High School,3,,,91,81,75," $1,309,052", Active
house_781,Condo/Co-op,1501 Greenwich St #401 ,San Francisco,CA,94123,1588000,2,2,,,2008,—,711,, 1,,Lilienthal (claire) Elementary School,9,Marina Middle School,6,Wallenberg (raoul) Traditional High School,8,,,99,91,70," $1,601,237", Active
house_782,Condo/Co-op,1510 Jackson St #2 ,San Francisco,CA,94109,829000,2,1,,,—,—,349,, 1,,Revere (paul) Elementary School,1,Gateway Middle School,5,Wallenberg (raoul) Traditional High School,8,,,99,97,69," $830,571", Active
house_783,Single Family Residential,1531 44th Ave ,San Francisco,CA,94122,995000,2,1,,,1937,—,0, 1, 1,,Lawton Alternative Elementary School,10,Lick (james) Middle School,2,Wallenberg (raoul) Traditional High School,8," Central Heating, Gas"," Central Heating, Gas",86,61,91," $1,128,759", Active
house_784,Condo/Co-op,1540 Lombard St Unit L ,San Francisco,CA,94123,995000,2,1,,,1947,—,655,, 1,,Sherman Elementary School,7,Marina Middle School,6,Gateway High School,7,,,97,88,90," $1,060,099", Active
house_785,Condo/Co-op,1545 Pine St #802 ,San Francisco,CA,94109,998000,1,1,,,2017,—,907,, 1,,Marshall Elementary School,2,,,Galileo High School,7,,,100,95,81," $1,007,886", Active
house_786,Single Family Residential,1570 21st Ave ,San Francisco,CA,94122,1195000,4,4,,,1922,—,0, 1, 1,,New Traditions Elementary School,8,Presidio Middle School,4,Wells (ida B.) High School,7," Central Heating, Gas"," Central Heating, Gas",88,70,74," $1,695,752", Active
house_787,Single Family Residential,1571 Fulton St ,San Francisco,CA,94117,4495000,7,4,,,1900,—,0, 1, 1,,Marshall Elementary School,7,Everett Middle School,8,Wallenberg (raoul) Traditional High School,4, Central Heating, Central Heating,97,81,98," $4,594,774", Active
house_788,Single Family Residential,1611 Broderick St ,San Francisco,CA,94115,2612500,6,5,,,1900,—,0,,,,McKinley Elementary School,6,Marina Middle School,6,Marshall (thurgood) High School,2,,,97,80,76," $2,652,161", New-REO
house_789,Vacant Land,1631 A Oakdale Ave ,San Francisco,CA,94124,1495000,3,2,,,—,—,346,, 1,,Hillcrest Elementary School,5,King Jr. (martin Luther) Academic Middle School,3,Downtown High School,1,,,93,69,84," $1,512,655", Active
house_790,Condo/Co-op,1633-1639 Washington St ,San Francisco,CA,94109,7500000,1,—,,,1907,—,0, 2, 2,,Milk (harvey) Civil Rights Elementary School,3,Marina Middle School,6,Wallenberg (raoul) Traditional High School,8, Radiant, Radiant,100,100,70,, Active
house_791,Single Family Residential,1655 18th Ave ,San Francisco,CA,94122,1495000,3,3,,,1940,—,0, 2, 2,,Yu (alice Fong) Elementary School,9,Presidio Middle School,8,Mission High School,1, Central Heating, Central Heating,79,70,61," $2,009,793", Active
house_792,Single Family Residential,166 Anderson St ,San Francisco,CA,94110,995000,2,1,,,1910,—,0, 1, 1,,Revere (paul) Elementary School,1,Everett Middle School,3,S.F. International High School,1," Central Heating, Gas"," Central Heating, Gas",93,76,57," $1,028,085", Active
house_793,Single Family Residential,166 Hartford St ,San Francisco,CA,94114,1495000,3,1,,,1885,—,0,,,,Alvarado Elementary School,7,Everett Middle School,3,,, Central Heating, Central Heating,99,93,64," $1,734,825", Active
house_794,Single Family Residential,1686 39th Ave ,San Francisco,CA,94122,998000,2,1,,,1941,—,0, 1, 1,,Alamo Elementary School,9,Lick (james) Middle School,2,Lowell High School,10," Central Heating, Gas"," Central Heating, Gas",82,60,79," $1,093,965", Active
house_795,Condo/Co-op,170 King St #901 ,San Francisco,CA,94107,998000,1,1,,,2007,—,721,, 1,,Chin (john Yehall) Elementary School,10,Everett Middle School,3,Galileo High School,7,,,93,100,92," $997,785", Active
house_796,Condo/Co-op,1731 Powell St #203 ,San Francisco,CA,94133,2800000,2,2,,,2018,—,930,, 1,,Yu (alice Fong) Elementary School,9,,,,,,,100,93,64," $2,748,018", Active
house_797,Condo/Co-op,1731 Powell St #204 ,San Francisco,CA,94133,2800000,3,2,,,2018,—,1043,, 1,,Yu (alice Fong) Elementary School,9,,,,,,,100,93,64," $2,759,829", Active
house_798,Condo/Co-op,1731 Powell St #401 ,San Francisco,CA,94133,2200000,2,2,,,2018,—,833,, 1,,Yu (alice Fong) Elementary School,9,,,,,,,100,93,64," $2,180,856", Active
house_799,Condo/Co-op,1731 Powell St #501 ,San Francisco,CA,94133,5800000,2,2,,,2018,—,966,, 2,,Yu (alice Fong) Elementary School,9,,,,,,,100,93,64," $5,751,611", Active
house_800,Single Family Residential,175 Hazelwood Ave ,San Francisco,CA,94112,1849000,3,2,,,1922,—,10, 3, 3,,Glen Park Elementary School,3,Aptos Middle School,6,Independence High School,4, Central Heating, Central Heating,75,74,64," $2,018,683", Active
house_801,Condo/Co-op,175 Red Rock Way Unit 305K ,San Francisco,CA,94131,595000,1,1,,,1972,—,491,, 1,,Milk (harvey) Civil Rights Elementary School,3,Hoover (herbert) Middle School,7,City Arts And Tech High School,3,,,72,60,63," $614,552", Active
house_802,Condo/Co-op,175 Red Rock Way Unit 305K ,San Francisco,CA,94131,595000,1,1,,,1972,—,491,, 1,,Milk (harvey) Civil Rights Elementary School,3,Hoover (herbert) Middle School,7,City Arts And Tech High School,3,,,72,60,63," $614,552", Active
house_803,Condo/Co-op,1789 Washington #702 ,San Francisco,CA,94109,1595000,2,2,,,—,—,797,, 1,,Yick Wo Elementary School,8,,,Wells (ida B.) High School,1,,,99,95,85," $1,599,258", Active
house_804,Single Family Residential,1819 30th Ave ,San Francisco,CA,94122,1088000,3,2,,,1937,—,0, 1, 1,,Lakeshore Alternative Elementary School,3,Gateway Middle School,5,Wallenberg (raoul) Traditional High School,8," Central Heating, Gas"," Central Heating, Gas",90,59,75," $1,533,484", Active
house_805,Condo/Co-op,1840 Washington St #702 ,San Francisco,CA,94109,1598000,2,2,,,2012,—,575,, 1,,Lilienthal (claire) Elementary School,9,Roosevelt Middle School,9,Independence High School,4,,,99,94,69," $1,619,294", Active
house_806,Multi-Family (2-4 Unit),185 19th Ave ,San Francisco,CA,94121,1650000,3,2,,,1924,—,0,, 2,,Lawton Alternative Elementary School,10,Everett Middle School,3,Wells (ida B.) High School,1,,,94,73,89," $1,747,696", Active
house_807,Condo/Co-op,1850 Sacramento St ,San Francisco,CA,94109,20000000,2,—,,,1927,—,0, 7, 7,,Sherman Elementary School,7,Francisco Middle School,6,Wallenberg (raoul) Traditional High School,8, Baseboard Heaters, Baseboard Heaters,99,94,74,, Active
house_808,Condo/Co-op,1865 California St #1 ,San Francisco,CA,94109,799000,1,1,,,1924,—,400,,,,Peabody (george) Elementary School,8,Everett Middle School,3,Mission High School,1,,,98,92,74," $802,602", Active
house_809,Condo/Co-op,1869 California St #3 ,San Francisco,CA,94109,1595000,3,2,,,1917,—,550,, 1,,Sherman Elementary School,7,Everett Middle School,3,Washington (george) High School,8,,,98,92,74," $1,595,753", Active
house_810,Condo/Co-op,187 19th Ave ,San Francisco,CA,94121,1345000,2,1,,,—,—,0,, 1,,Lafayette Elementary School,9,Gateway Middle School,5,Independence High School,4,,,94,73,89," $1,355,634", Active
house_811,Single Family Residential,1879 19th Ave ,San Francisco,CA,94122,1080000,5,2,,,1925,—,0, 3, 3,,Rooftop Elementary School,6,Denman (james) Middle School,4,Balboa High School,6,,,74,66,61," $1,133,124", Active
house_812,Condo/Co-op,188 Minna St Unit 25C&D ,San Francisco,CA,94105,9800000,2,2,,,—,—,5430,, 2,,Daniel Webster Elementary School,5,Francisco Middle School,3,Galileo High School,1,,,96,100,85," $9,492,903", Active
house_813,Condo/Co-op,188 Minna St Unit 36C ,San Francisco,CA,94105,2950000,2,2,,,2005,—,2687,, 1,,Daniel Webster Elementary School,5,Francisco Middle School,3,Galileo High School,1,,,96,100,85," $2,934,902", Active
house_814,Condo/Co-op,1880 Steiner St #208 ,San Francisco,CA,94115,1149000,2,2,,,1999,—,676,, 1,,Sherman Elementary School,7,Roosevelt Middle School,9,Mission High School,1,,,99,84,86," $1,165,133", Active
house_815,Vacant Land,1897 Funston ,San Francisco,CA,94116,1088000,—,—,,,—,—,0,,,,Rooftop Elementary School,6,Aptos Middle School,6,,,,,63,73,48," $1,171,489", Active
house_816,Multi-Family (2-4 Unit),19-21 Bernard St ,San Francisco,CA,94133,1888000,6,2,,,1900,—,0, 1,,,Lilienthal (claire) Elementary School,9,,,Wallenberg (raoul) Traditional High School,8,,,98,100,63," $1,880,113", New
house_817,Single Family Residential,19 Sherwood Ct ,San Francisco,CA,94127,2650000,4,3,,,1958,—,0, 2, 2,,Miraloma Elementary School,8,Brown Jr. (willie L) Middle,1,Leadership High School,2,,,44,66,39," $2,631,998", Active
house_818,Condo/Co-op,190 27th Ave ,San Francisco,CA,94121,4250000,1,—,,,1921,—,0, 4, 4,,Grattan Elementary School,7,Roosevelt Middle School,9,Galileo High School,7,,,81,65,89,, Active
house_819,Condo/Co-op,1901 California St #8 ,San Francisco,CA,94109,1995000,3,2,,,1919,—,2178,, 1,,Muir (john) Elementary School,7,Everett Middle School,3,Mission High School,1,,,98,92,74," $2,062,507", Active
house_820,Single Family Residential,191 Judson Ave ,SAN FRANCISCO,CA,94112,998000,2,1, 965, 0.0574,1925,—,0,, 1,,Glen Park Elementary School,3,Aptos Middle School,6,Balboa High School,6, Central Forced Air (Gas),,81,88,58," $1,213,336", Active
house_821,Single Family Residential,1910 30th Ave ,SAN FRANCISCO,CA,94116,1299950,2,2," 1,427", 0.0401,1940,—,0,, 1,,Sunnyside Elementary School,7,Everett Middle School,3,Mission High School,1," Central Forced Air (Gas), Fireplace",,88,61,64," $1,318,396", Active
house_822,Condo/Co-op,1910 Divisadero St #3 ,San Francisco,CA,94115,789000,2,1,,,—,—,235,,,,Lilienthal (claire) Elementary School,9,Francisco Middle School,6,O'Connell (john) High School,2,,,97,79,82," $825,371", Active
house_823,Condo/Co-op,1910 Divisadero St #5 ,San Francisco,CA,94115,799000,2,1,,,—,—,217,,,,Lilienthal (claire) Elementary School,9,Francisco Middle School,6,O'Connell (john) High School,2,,,97,79,82," $861,446", Active
house_824,Single Family Residential,1926 9th Ave ,San Francisco,CA,94116,1685000,3,2,,,1924,—,0, 1, 1,,Lawton Alternative Elementary School,10,,,Wallenberg (raoul) Traditional High School,8," Central Heating, Gas"," Central Heating, Gas",54,79,43," $1,695,975", Active
house_825,Multi-Family (2-4 Unit),1927 Washington St ,San Francisco,CA,94109,3295000,5,4,,,1914,—,0, 1, 1,,Parks (rosa) Elementary School,4,,,O'Connell (john) High School,2," Central Heating, Gas"," Central Heating, Gas",97,94,62," $3,356,249", Active
house_826,Single Family Residential,193 Caine Ave ,SAN FRANCISCO,CA,94112,988888,4,2," 1,375", 0.0913,1907,—,0,, 3,,Revere (paul) Elementary School,1,Aptos Middle School,6,Mission High School,1, Gas,,67,86,38," $1,005,852", Active
house_827,Condo/Co-op,1940 Vallejo St #1 ,San Francisco,CA,94123,3750000,4,3,,,1927,—,1895,, 2,,Lilienthal (claire) Elementary School,9,Marina Middle School,6,O'Connell (john) High School,2,,,98,91,56," $3,724,349", Active
house_828,Condo/Co-op,1945 Ofarrell St ,San Francisco,CA,94115,1299000,3,1,,,1890,—,701,,,,McKinley Elementary School,6,Gateway Middle School,5,Wallenberg (raoul) Traditional High School,8,,,97,83,94," $1,364,275", Active
house_829,Condo/Co-op,1974 Bush St ,San Francisco,CA,94115,2595000,3,2,,,1900,—,250,, 2,,Lilienthal (claire) Elementary School,9,,,O'Connell (john) High School,2,,,99,88,70," $2,586,542", Active
house_830,Condo/Co-op,199 Tiffany Ave #403 ,San Francisco,CA,94110,1095000,2,2,,,2004,—,693,, 1,,Flynn (leonard R.) Elementary School,1,Aptos Middle School,6,O'Connell (john) High School,2,,,95,80,77,, Active
house_831,Single Family Residential,2 Midcrest Way ,San Francisco,CA,94131,1695000,4,2,,,1959,—,2, 2, 2,,Rooftop Elementary School,6,Hoover (herbert) Middle School,7,Leadership High School,2, Central Heating, Central Heating,69,75,59," $1,906,766", Active
house_832,Condo/Co-op,2 Mint Plz #604 ,San Francisco,CA,94103,1150000,1,1,,,1926,—,1667,, 1,,Sanchez Elementary School,1,Brown Jr. (willie L) Middle,1,S.F. International High School,1,,,99,100,92," $1,202,659", Active
house_833,Single Family Residential,20 Ashbury Ter ,San Francisco,CA,94117,3995000,5,3,,,1916,—,0, 2, 2,,Yu (alice Fong) Elementary School,9,,,O'Connell (john) High School,2," Central Heating, Gas"," Central Heating, Gas",90,84,68," $3,934,512", Active
house_834,Condo/Co-op,200 Brannan St #410 ,San Francisco,CA,94107,1475000,2,2,,,2004,—,847,, 1,,Serra (junipero) Elementary School,3,Francisco Middle School,6,Wells (ida B.) High School,1,,,87,100,81," $1,519,567", Active
house_835,Condo/Co-op,201 Folsom St Unit 29A ,San Francisco,CA,94105,2850000,2,2,,,2016,—,1241,, 1,,Redding Elementary School,6,,,Wells (ida B.) High School,1,,,95,100,57," $2,842,200", Active
house_836,Condo/Co-op,201 Folsom St Unit 9E ,San Francisco,CA,94105,1795000,2,2,,,2016,—,1210,, 1,,Redding Elementary School,6,,,Wells (ida B.) High School,1,,,95,100,57," $1,782,922", Active
house_837,Condo/Co-op,2040 Laguna St #303 ,San Francisco,CA,94115,749000,1,1,,,1981,—,593,, 1,,Parks (rosa) Elementary School,4,Lick (james) Middle School,2,Wells (ida B.) High School,1,,,96,91,67," $755,084", Active
house_838,Single Family Residential,2047 41ST Ave ,San Francisco,CA,94116,995000,2,2,,,1951,—,0,, 1,,Rooftop Elementary School,6,Giannini (a.P.) Middle School,9,Leadership High School,2,,,70,61,74,, Active
house_839,Single Family Residential,2069 Quesada Ave ,San Francisco,CA,94124,849000,3,1,,,1900,—,0,,,,Serra (junipero) Elementary School,3,King Jr. (martin Luther) Academic Middle School,3,Mission High School,1, Wall Furnaces, Wall Furnaces,83,72,72," $901,963", Active
house_840,Condo/Co-op,207 Eureka St ,San Francisco,CA,94114,1494000,3,1,,,1917,—,250,, 1,,Rooftop Elementary School,6,,,Marshall (thurgood) High School,2,,,98,90,61," $1,567,538", Active
house_841,Condo/Co-op,2121 Webster St #208 ,San Francisco,CA,94115,2250000,1,1,,,2016,—,1415,, 1,,Yu (alice Fong) Elementary School,9,Gateway Middle School,5,Independence High School,4,,,98,88,68," $2,243,206", Active
house_842,Condo/Co-op,2130 Leavenworth St #4 ,San Francisco,CA,94133,1195000,1,1,,,1924,—,1040,, 1,,Yick Wo Elementary School,8,Presidio Middle School,8,Wells (ida B.) High School,1,,,95,93,69," $1,198,285", Active
house_843,Condo/Co-op,214 Roanoke St ,San Francisco,CA,94131,1399000,3,2,,,1913,—,200,, 1,,Cleveland Elementary School,1,Brown Jr. (willie L) Middle,1,Marshall (thurgood) High School,2,,,87,83,72," $1,638,668", Active
house_844,Condo/Co-op,215 Red Rock Way Unit 206J ,San Francisco,CA,94131,699000,1,1,,,1972,—,569,, 1,,Yu (alice Fong) Elementary School,9,,,Balboa High School,6,,,72,60,63," $727,104", Active
house_845,Condo/Co-op,216 Roosevelt Way ,San Francisco,CA,94114,2695000,4,3,,,1969,—,480,, 1,,Grattan Elementary School,7,Everett Middle School,3,Gateway High School,7,,,81,92,65," $2,754,033", Active
house_846,Single Family Residential,2164 Funston Ave ,San Francisco,CA,94116,1495000,4,3,,,1976,—,0, 2, 2,,Feinstein (dianne) Elementary School,8,Roosevelt Middle School,9,Independence High School,4," Central Heating, Gas"," Central Heating, Gas",51,80,45,, Active
house_847,Condo/Co-op,2177 3rd St #401 ,San Francisco,CA,94107,1495000,2,2,,,—,—,941,, 1,,Bryant Elementary School,3,Gateway Middle School,5,O'Connell (john) High School,2,,,90,69,92," $1,493,989", Active
house_848,Condo/Co-op,2177 3rd St #401 ,San Francisco,CA,94107,1495000,2,2,,,—,—,941,, 1,,Bryant Elementary School,3,Gateway Middle School,5,O'Connell (john) High School,2,,,90,69,92," $1,493,989", Active
house_849,Condo/Co-op,218 Presidio Ave #218 ,San Francisco,CA,94115,2495000,3,2,,,1908,—,400,, 1,,Yu (alice Fong) Elementary School,9,Gateway Middle School,5,Mission High School,1,,,93,79,68,, Active
house_850,Condo/Co-op,2198 Fell St #1 ,San Francisco,CA,94117,1195000,2,2,,,2000,—,532,, 1,,Clarendon Alternative Elementary School,5,Hoover (herbert) Middle School,7,Gateway High School,1,,,96,78,92," $1,293,633", Active
house_851,Multi-Family (2-4 Unit),22 Flint St ,San Francisco,CA,94114,1495000,4,3,,,1957,—,0, 2, 2,,Sanchez Elementary School,1,Everett Middle School,3,Galileo High School,7, Central Heating, Central Heating,98,95,64," $1,770,230", Active
house_852,Single Family Residential,220 Gold Mine Dr ,San Francisco,CA,94131,3380000,3,3,,,1967,—,0, 2, 2,,Miraloma Elementary School,8,Gateway Middle School,5,Balboa High School,6," Radiant, Wall Furnaces"," Radiant, Wall Furnaces",72,69,63," $3,370,827", Active
house_853,Single Family Residential,223 Molimo Dr ,San Francisco,CA,94127,2795000,4,4,,,1958,—,0, 2, 2,,Yu (alice Fong) Elementary School,9,Everett Middle School,3,Balboa High School,6, Radiant, Radiant,44,64,46," $2,927,746", Active
house_854,Multi-Family (2-4 Unit),230 States St ,San Francisco,CA,94114,2575000,2,2,,,1900,—,0, 1, 1,,Rooftop Elementary School,6,Gateway Middle School,5,Wallenberg (raoul) Traditional High School,8,,,93,91,62," $2,623,701", Active
house_855,Multi-Family (2-4 Unit),235 Jersey St ,San Francisco,CA,94114,8280000,6,5,,,1900,—,0, 2, 2,,McKinley Elementary School,6,Brown Jr. (willie L) Middle,1,Mission High School,1, Radiant, Radiant,98,76,76," $8,211,284", Active
house_856,Condo/Co-op,239 8th St #7 ,San Francisco,CA,94103,1089000,1,2,,,2003,—,632,, 1,,Rooftop Elementary School,6,Marina Middle School,6,Galileo High School,7,,,98,100,99," $1,099,684", Active
house_857,Single Family Residential,24 Orben Pl ,San Francisco,CA,94115,1850000,2,1,,,1900,—,0, 1, 1,,Lilienthal (claire) Elementary School,9,,,S.F. International High School,1,,,99,86,78," $2,055,609", Active
house_858,Multi-Family (2-4 Unit),2437-2441 Post St ,San Francisco,CA,94115,2399000,9,3,,,1895,—,0,,,,Cobb (william L.) Elementary School,2,Everett Middle School,3,Wells (ida B.) High School,1," Gas, Wall Furnaces"," Gas, Wall Furnaces",96,81,62,, Active
house_859,Condo/Co-op,2448 Lombard St #302 ,San Francisco,CA,94123,1515000,2,2,,,—,—,650,, 1,,Lau (gordon J.) Elementary School,8,Roosevelt Middle School,9,Gateway High School,7,,,97,72,76," $1,507,132", Active
house_860,Condo/Co-op,252 9th St #202 ,San Francisco,CA,94103,799000,1,1,,,2015,—,472,,,,Rooftop Elementary School,6,Marina Middle School,6,Marshall (thurgood) High School,2,,,98,100,97," $800,252", Active
house_861,Condo/Co-op,2553 Clay St ,San Francisco,CA,94115,2195000,2,2,,,1981,—,450,, 1,,Lilienthal (claire) Elementary School,9,,,S.F. International High School,1,,,99,87,71," $2,473,196", Active
house_862,Single Family Residential,256 Summit Way ,San Francisco,CA,94132,1595000,3,2,,,—,—,220, 2, 2,,Lawton Alternative Elementary School,10,Hoover (herbert) Middle School,7,Burton (phillip And Sala) Academic High School,6, Central Heating, Central Heating,77,68,41,, Active
house_863,Single Family Residential,2580 Diamond St ,San Francisco,CA,94131,1559000,3,2,,,1900,—,0, 2, 2,,Miraloma Elementary School,8,King Jr. (martin Luther) Academic Middle School,3,Balboa High School,6, Central Heating, Central Heating,87,81,67," $1,843,357", Active
house_864,Condo/Co-op,260 King St #721 ,San Francisco,CA,94107,699000,1,1,,,2004,—,791,, 1,,Muir (john) Elementary School,7,Everett Middle School,3,Marshall (thurgood) High School,2,,,94,98,92," $713,804", New
house_865,Single Family Residential,266 Bella Vista Way ,San Francisco,CA,94127,1295000,3,1,,,1948,—,0, 2, 2,,Yu (alice Fong) Elementary School,9,,,City Arts And Tech High School,3," Central Heating, Gas"," Central Heating, Gas",49,64,43," $1,341,513", Active
house_866,Single Family Residential,268 Grand View Ave ,San Francisco,CA,94114,3895000,4,3,,,1907,—,0, 3, 3,,Alvarado Elementary School,7,Gateway Middle School,5,S.F. International High School,1,,,75,60,68," $3,892,081", Active
house_867,Single Family Residential,27 Saturn St ,San Francisco,CA,94114,1995000,3,2,,,1957,—,0, 1, 1,,Yu (alice Fong) Elementary School,9,,,S.F. International High School,1,,,90,89,64," $2,366,967", Active
house_868,Condo/Co-op,2717 20th St ,San Francisco,CA,94110,1799000,3,2,,,1906,—,0, 1, 1,,Bryant Elementary School,3,Gateway Middle School,5,Burton (phillip And Sala) Academic High School,6, Central Heating, Central Heating,97,80,97," $1,796,971", Active
house_869,Multi-Family (2-4 Unit),2738-2742 Judah St ,San Francisco,CA,94122,1520000,9,3,,,1948,—,0,,,,Sutro Elementary School,8,Aptos Middle School,6,Independence High School,4," Central Heating, Gas"," Central Heating, Gas",76,61,84," $1,540,236", Active
house_870,Single Family Residential,280 Edgehill Way ,San Francisco,CA,94127,2395000,4,3,,,1940,—,0, 2, 2,,Rooftop Elementary School,6,Hoover (herbert) Middle School,7,Leadership High School,2,,,45,78,58,, Active
house_871,Condo/Co-op,280 Spear St Unit 32A ,San Francisco,CA,94105,2830000,2,2,,,—,—,1342,, 1,,Yick Wo Elementary School,8,Lick (james) Middle School,2,Downtown High School,1,,,96,100,80," $2,817,042", Active
house_872,Multi-Family (2-4 Unit),2824 21st St ,San Francisco,CA,94110,1949000,3,2,,,1910,—,200,, 1,,Serra (junipero) Elementary School,3,Gateway Middle School,5,Wells (ida B.) High School,1,,,98,82,99," $2,009,036", Active
house_873,Condo/Co-op,2845 Ulloa St ,SAN FRANCISCO,CA,94116,1500000,3,—," 2,070", 0.0689,1908,—,0, 2,,,Rooftop Elementary School,6,,,Independence High School,4, Wall Furnace,,81,65,59," $1,513,145", Active
house_874,Condo/Co-op,288 27th St ,San Francisco,CA,94131,4495000,1,—,,,1912,—,0, 1, 1,,Miraloma Elementary School,8,King Jr. (martin Luther) Academic Middle School,3,Independence High School,4,,,95,79,91,, Active
house_875,Single Family Residential,2921 Judah St ,San Francisco,CA,94122,699000,2,1,,,1944,—,0,, 2,,Yu (alice Fong) Elementary School,9,Giannini (a.P.) Middle School,9,Wells (ida B.) High School,1,,,83,61,83," $917,213", Active
house_876,Multi-Family (2-4 Unit),2941 23rd Ave ,San Francisco,CA,94132,2495000,5,3,,,1939,—,0, 3, 3,,Sloat (commodore) Elementary School,8,Denman (james) Middle School,4,,," Central Heating, Gas"," Central Heating, Gas",74,76,74," $2,485,084", Active
house_877,Condo/Co-op,2950 Clay St #203 ,San Francisco,CA,94115,1495000,3,2,,,1962,—,650,, 1,,Rooftop Elementary School,6,,,Mission High School,1,,,95,80,70," $1,609,933", Active
house_878,Single Family Residential,2954 23rd St ,San Francisco,CA,94110,1195000,3,2,,,1924,—,0, 1, 1,,Revere (paul) Elementary School,1,,,Marshall (thurgood) High School,2,,,98,84,99," $1,238,841", Active
house_879,Single Family Residential,2965 Pine St ,San Francisco,CA,94115,4470000,5,5,,,—,—,0, 1, 1,,Grattan Elementary School,7,Gateway Middle School,5,Mission High School,1," Central Heating, Gas"," Central Heating, Gas",97,78,78," $4,749,259", Active
house_880,Multi-Family (2-4 Unit),2978 Folsom St ,San Francisco,CA,94110,1395000,2,2,,,—,—,403,, 1,,Daniel Webster Elementary School,5,Everett Middle School,3,Mission High School,1,,,96,84,88,, Active
house_881,Condo/Co-op,2999 California St #704 ,San Francisco,CA,94115,749000,1,1,,,1929,—,550,,,,Marshall Elementary School,2,Francisco Middle School,6,Wells (ida B.) High School,1,,,97,79,71," $755,172", Active
house_882,Single Family Residential,3 Mabrey Ct ,San Francisco,CA,94124,1088000,3,2,,,1984,—,150,, 2,,Carver (george Washington) Elementary School,1,King Jr. (martin Luther) Academic Middle School,3,Burton (phillip And Sala) Academic High School,6,,,82,66,59," $1,091,296", New
house_883,Condo/Co-op,3001 25th St ,San Francisco,CA,94110,2295000,4,—,,,1900,—,0, 4, 4,,Revere (paul) Elementary School,1,Brown Jr. (willie L) Middle,1,Burton (phillip And Sala) Academic High School,6,,,98,83,100,, Active
house_884,Condo/Co-op,301 Main St Unit 12C ,San Francisco,CA,94105,1100000,1,1,,,2008,—,891,, 1,,Parker (jean) Elementary School,6,Lick (james) Middle School,2,Burton (phillip And Sala) Academic High School,6,,,95,100,77,, Active
house_885,Condo/Co-op,301 Main St Unit 21E ,San Francisco,CA,94104,1698000,2,2,,,2008,—,959,, 1,,Parker (jean) Elementary School,6,Lick (james) Middle School,2,Burton (phillip And Sala) Academic High School,6,,,95,100,77," $1,695,441", Active
house_886,Condo/Co-op,301 Main Unit 27C ,San Francisco,CA,94105,1699000,—,1,,,2008,—,891,, 1,,Parker (jean) Elementary School,6,Lick (james) Middle School,2,Burton (phillip And Sala) Academic High School,6,,,95,100,77," $1,695,060", Active
house_887,Multi-Family (2-4 Unit),3027-3029 25th St ,San Francisco,CA,94110,2999999,6,5,,,—,—,0, 2, 2,,Revere (paul) Elementary School,1,Brown Jr. (willie L) Middle,1,Burton (phillip And Sala) Academic High School,6,,,98,83,100," $3,011,027", Active
house_888,Single Family Residential,3032 Divisadero St ,San Francisco,CA,94123,2500000,2,2,,,1926,—,0, 1, 1,,Redding Elementary School,6,Everett Middle School,3,Independence High School,4,,,94,79,58," $2,743,395", Active
house_889,Single Family Residential,304 Gold Mine Dr ,San Francisco,CA,94131,2198000,5,3,,,1968,—,0, 2, 2,,Revere (paul) Elementary School,1,Hoover (herbert) Middle School,7,Mission High School,1,,,73,74,62," $2,435,649", Active
house_890,Condo/Co-op,3042 Gough St ,San Francisco,CA,94123,1550000,2,1,,,1924,—,300,, 1,,Lilienthal (claire) Elementary School,9,Roosevelt Middle School,9,Wells (ida B.) High School,1,,,97,88,90,, Active
house_891,Single Family Residential,3043 20th Ave ,San Francisco,CA,94132,1788000,3,1,,,1938,—,0, 2, 2,,Key (francis Scott) Elementary School,9,Everett Middle School,3,Lincoln (abraham) High School,7,,,85,78,70,, Active
